200,Istanbul,Cekmekoy,Alemdag Mah.,2014,140,3,2,1,6,1,Dogalgaz (Kombi),Bos,Evet,Emlak Ofisinden,Hayir
170,Istanbul,Cekmekoy,Alemdag Mah.,2014,85,3,2,1,6,1,Dogalgaz (Kombi),Bos,Evet,Emlak Ofisinden,Hayir
350,Istanbul,Cekmekoy,Alemdag Mah.,2014,135,4,2,2,5,2,Dogalgaz (Kombi),Bos,Evet,Emlak Ofisinden,Hayir
280,Istanbul,Cekmekoy,Alemdag Mah.,2014,150,4,2,7,8,1,Dogalgaz (Kombi),Belirtilmemis,Evet,Emlak Ofisinden,Hayir
170,Istanbul,Cekmekoy,Alemdag Mah.,2014,100,3,1,7,7,3,Dogalgaz (Kombi),Belirtilmemis,Evet,Emlak Ofisinden,Hayir
270,Istanbul,Cekmekoy,Alemdag Mah.,2014,170,6,3,0,6,6,Dogalgaz (Kombi),Bos,Hayir,Insaat Firmasindan,Hayir
170,Istanbul,Cekmekoy,Alemdag Mah.,2014,92,3,2,0,5,2,Dogalgaz (Kombi),Bos,Evet,Emlak Ofisinden,Hayir
345,Istanbul,Cekmekoy,Alemdag Mah.,2014,135,4,2,4,6,4,Dogalgaz (Kombi),Mulk Sahibi,Evet,Emlak Ofisinden,Hayir
550,Istanbul,Cekmekoy,Alemdag Mah.,2014,189,5,2,4,5,5,Dogalgaz (Kombi),Belirtilmemis,Evet,Emlak Ofisinden,Hayir
250,Istanbul,Cekmekoy,Alemdag Mah.,2014,137,4,2,7,6,3,Dogalgaz (Kombi),Bos,Hayir,Emlak Ofisinden,Hayir
190,Istanbul,Cekmekoy,Alemdag Mah.,2014,115,4,3,1,6,1,Dogalgaz (Kombi),Bos,Evet,Emlak Ofisinden,Hayir
250,Istanbul,Cekmekoy,Alemdag Mah.,2014,110,3,1,4,5,2,Dogalgaz (Kombi),Kiracili,Evet,Emlak Ofisinden,Hayir
230,Istanbul,Cekmekoy,Alemdag Mah.,2014,200,4,2,0,5,1,Dogalgaz (Kombi),Bos,Evet,Emlak Ofisinden,Hayir
220,Istanbul,Cekmekoy,Alemdag Mah.,2014,147,4,3,0,6,1,Dogalgaz (Kombi),Bos,Evet,Emlak Ofisinden,Hayir
275,Istanbul,Cekmekoy,Alemdag Mah.,2014,220,6,3,0,6,6,Dogalgaz (Kombi),Bos,Hayir,Insaat Firmasindan,Hayir
